,_id,contracts,contracts.dateSigned,contracts.period.endDate,contracts.period.startDate,contracts.status
7470,5bf800245fb2add4506df994,,2018-11-22T16:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7471,5bf800245fb2add4506df9ad,,,,,
7472,5bf800a15fb2add4506dfd97,,2018-11-22T00:00:00+02:00,2018-12-31T23:59:59+02:00,2018-11-22T00:00:00+02:00,active
7473,5bf800a25fb2add4506dfdcf,,2018-11-21T00:00:00+02:00,2018-12-31T23:59:59+02:00,2018-11-21T00:00:00+02:00,pending
7474,5bf800245fb2add4506df961,,,,,
7475,5bf800a05fb2add4506dfd69,,,,,
7476,5bf801155fb2add4506e0000,,2018-11-22T13:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7477,5bf800245fb2add4506df98e,,2018-11-22T16:10:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7478,5bf800245fb2add4506df9b0,,,,,
7479,5bf800255fb2add4506df9c4,,2018-11-22T09:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7480,5bf800255fb2add4506df9dd,,,,,pending
7481,5bf800245fb2add4506df995,,2018-11-22T00:00:00+02:00,2018-12-31T03:00:00+02:00,2018-11-22T03:00:00+02:00,active
7482,5bf800245fb2add4506df99e,,2018-11-22T16:11:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7483,5bf8009d5fb2add4506dfc93,,2018-11-22T16:16:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7484,5bf800255fb2add4506df9e7,,,,,
7485,5bf800245fb2add4506df97c,,2018-11-22T16:10:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7486,5bf800235fb2add4506df954,,,,,
7487,5bf800a05fb2add4506dfd1d,,2018-10-03T00:00:00+03:00,2018-12-26T23:59:59+02:00,2018-10-03T00:00:00+03:00,active
7488,5bf800a05fb2add4506dfd4a,,,,,
7489,5bf800235fb2add4506df956,,,,,
7490,5bf800245fb2add4506df966,,,,,
7491,5bf800245fb2add4506df997,,,,,
7492,5bf800255fb2add4506df9d5,,2018-11-21T16:21:00+02:00,2018-12-31T00:00:00+02:00,2018-11-21T00:00:00+02:00,active
7493,5bf800a15fb2add4506dfd76,,2018-11-22T16:16:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7494,5bf800255fb2add4506df9d3,,2018-11-21T16:14:00+02:00,2018-12-31T00:00:00+02:00,2018-11-21T00:00:00+02:00,active
7495,5bf800235fb2add4506df93f,,,,,
7496,5bf800245fb2add4506df974,,2018-11-22T13:09:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7497,5bf800245fb2add4506df963,,2018-11-22T11:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7498,5bf800235fb2add4506df92c,,,,,
7499,5bf8009f5fb2add4506dfcf4,,2018-11-16T16:18:00+02:00,2018-12-31T00:00:00+02:00,2018-11-16T00:00:00+02:00,active
7500,5bf8009d5fb2add4506dfc8b,,2018-11-21T15:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-21T00:00:00+02:00,active
7501,5bf800245fb2add4506df95c,,2018-11-21T16:00:00+02:00,2019-12-31T00:00:00+02:00,2018-11-21T00:00:00+02:00,active
7502,5bf800235fb2add4506df947,,,,,
7503,5bf800255fb2add4506df9ee,,2018-11-22T00:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7504,5bf800235fb2add4506df91c,,,,,
7505,5bf800245fb2add4506df960,,2018-11-22T16:08:00+02:00,2019-03-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7506,5bf800a05fb2add4506dfd28,,2018-11-22T00:00:00+02:00,2018-12-31T23:59:59+02:00,2018-11-22T00:00:00+02:00,active
7507,5bf800a05fb2add4506dfd31,,2018-11-22T16:23:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7508,5bf800245fb2add4506df968,,2018-11-22T16:09:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7509,5bf800235fb2add4506df90d,,,,,
7510,5bf800245fb2add4506df959,,2018-10-22T16:08:00+03:00,2018-12-31T00:00:00+02:00,2018-10-22T00:00:00+03:00,active
7511,5bf800245fb2add4506df98f,,2018-11-22T16:08:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7512,5bf800245fb2add4506df975,,,,,
7513,5bf800245fb2add4506df976,,,,,
7514,5bf800a05fb2add4506dfd58,,2018-11-22T00:00:00+02:00,2018-12-31T23:59:59+02:00,2018-11-22T00:00:00+02:00,active
7515,5bfd5f65eca306f8c5bbf974,,,,,
7516,5bf800245fb2add4506df962,,,,,
7517,5bf800245fb2add4506df95b,,,,,
7518,5bf800235fb2add4506df946,,2018-11-20T16:00:00+02:00,2019-12-31T00:00:00+02:00,2018-11-20T00:00:00+02:00,active
7519,5bf8009f5fb2add4506dfcf0,,2018-11-22T00:00:00+02:00,2018-12-31T23:59:59+02:00,2018-11-22T00:00:00+02:00,active
7520,5bf800235fb2add4506df925,,,,,
7521,5bf800235fb2add4506df929,,2018-11-22T15:35:00+02:00,2019-12-11T00:00:00+02:00,2018-12-12T00:00:00+02:00,active
7522,5bf800235fb2add4506df94f,,2018-11-21T16:07:00+02:00,2018-12-31T00:00:00+02:00,2018-11-21T00:00:00+02:00,active
7523,5bf800a05fb2add4506dfd23,,2018-11-22T16:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7524,5bf800245fb2add4506df96c,,2018-11-21T16:08:00+02:00,2018-12-31T00:00:00+02:00,2018-11-21T00:00:00+02:00,active
7525,5bf800a15fb2add4506dfd99,,,,,pending
7526,5bf800235fb2add4506df92f,,,,,
7527,5bf800235fb2add4506df906,,,,,
7528,5bf800235fb2add4506df948,,,,,
7529,5bf800235fb2add4506df8fc,,,,,pending
7530,5bf800a15fb2add4506dfda0,,,,,pending
7531,,,,,,pending
7532,5bf800235fb2add4506df921,,2018-11-22T10:50:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7533,5bf800235fb2add4506df94d,,2018-11-22T16:08:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7534,5bf800235fb2add4506df91e,,2018-11-22T16:05:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7535,5bf800245fb2add4506df965,,2018-11-21T18:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-21T00:00:00+02:00,active
7536,5bf801165fb2add4506e005d,,2018-11-21T00:00:00+02:00,2018-12-31T23:59:59+02:00,2018-11-21T00:00:00+02:00,active
7537,5bf800235fb2add4506df924,,,,,
7538,5bf800235fb2add4506df945,,,,,
7539,5bf801155fb2add4506dffd6,,2018-11-22T16:45:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7540,5bf800235fb2add4506df8d9,,,,,
7541,5bf800245fb2add4506df96b,,2018-11-22T14:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7542,5bf8009f5fb2add4506dfd02,,2018-11-07T00:00:00+02:00,2018-12-31T23:59:59+02:00,2018-11-07T00:00:00+02:00,active
